skill,is_skill,
and Interests,0,
Coding Profiles,0,
Positions of Responsibility: C,1,
C++,1,
Java,1,
Python,1,
Javascript,1,
HTML+CSS,1,
AngularJs,1,
Web Dev Tools:VS Code,1,
Github,1,
Relevent Coursework: Data Structures & Algorithms,1,
Object Oriented Programming,1,
Computer,0,
programming,0,
Artificial intelligence and Machine learning.,1,
Areas of Interest:Competitive programming,1,
Software engineering,1,
Web development,1,
Data analysis,1,
Deep,0,
Learning„Cyber Security.,1,
Soft Skills: Problem Solving,1,
Consistent Self-learning,1,
Presentation,1,
Adaptability,1,
Codeforces:Newbie HarvyDoshi,0,
CodeChef:1162 hd_0910,0,
Hackerrank:5 star(C++) HarvyDoshi,0,
Leetcode:HarvyDoshi HarvyDoshi,0,
Positions of Responsibility,0,
Executive committee member of Computer Society of India,0,
Nirma University 2023-Present,0,
– In CP/DSA team : Providing solutions for codeforces contests,0,
Graphics team: Prepared posters for events,0,
Member of CodeAdda Club,0,
Nirma University 2022-Present,0,
Member of Data Science Club,0,
: Python,1,
C,1,
C++,1,
HDL: Verilog,1,
Tools: Latex,1,
Matlab,1,
Git: English,0,
Hindi,0,
Malayalam,0,
Gujarati,0,
Soft Skills: Agility,1,
Effective Communication,1,
Strengths: Critical Thinking,1,
Creativity,1,
Imagination,1,
KEY ACHIEVEMENTS,,
BASICS OF DSA-C++,1,
BASICS OF OOP-JAVA,1,
FIND ME ONLINE,0,
CODEFORCES,0,
https://codeforces.com/,0,
profile/anmol_p,0,
CODECHEF,0,
https://www.codechef.c,0,
om/users/anmol_p,0,
https://www.linkedin.com/in/anmol-panjwani-984995251,0,
https://codeforces.com/profile/anmol_p,0,
https://www.codechef.com/users/anmol_p,0,
and Interests,0,
Coding Profiles,0,
Positions of Responsibility: C,0,
C++,1,
Java,1,
Python,1,
Javascript,1,
HTML+CSS,1,
AngularJs,1,
Web Dev Tools:VS Code,1,
Github,1,
Relevent Coursework: Data Structures & Algorithms,1,
Object Oriented Programming,1,
Computer,1,
programming,1,
Artificial intelligence and Machine learning.,1,
Areas of Interest:Competitive programming,0,
Software engineering,1,
Web development,1,
Data analysis,1,
Deep,0,
LearningžCyber Security.,1,
Soft Skills: Problem Solving,1,
Consistent Self-learning,0,
Presentation,1,
Adaptability,1,
Codeforces:Newbie HarvyDoshi,0,
CodeChef:1162 hd_0910,0,
Hackerrank:5 star(C++) HarvyDoshi,0,
Leetcode:HarvyDoshi HarvyDoshi,0,
Positions of Responsibility,0,
Executive committee member of Computer Society of India,0,
Nirma University 2023-Present,0,
